Country,year,suicides/100k male,suicides/100k female,Suicide Ratio (M/F),Average Suicide
Albania,1995,4.081666666666666,2.6766666666666663,1.524906600249066,3.3791666666666664
Albania,1996,4.36,2.91,1.4982817869415808,3.6350000000000002
Albania,1997,9.358333333333333,3.546666666666667,2.638627819548872,6.4525
Albania,1998,7.696666666666666,3.39,2.270403146509341,5.543333333333333
Albania,1999,7.415,4.22,1.7571090047393365,5.8175
Albania,2000,3.401666666666667,1.7149999999999999,1.9834791059280859,2.5583333333333336
Albania,2001,5.703333333333333,2.733333333333334,2.086585365853658,4.218333333333334
Albania,2002,7.63,2.7883333333333336,2.736401673640167,5.2091666666666665
Albania,2003,4.9,4.866666666666666,1.0068493150684934,4.883333333333333
Albania,2004,6.808333333333334,4.09,1.664629176854116,5.449166666666667
Albania,2005,0.0,0.0,,0.0
Albania,2006,0.0,0.0,,0.0
Albania,2007,7.331666666666667,3.643333333333333,2.0123513266239708,5.4875
Albania,2008,7.023333333333333,4.818333333333333,1.457627118644068,5.920833333333333
Albania,2009,0.0,0.0,,0.0
Albania,2010,4.363333333333333,2.58,1.6912144702842378,3.4716666666666667
Antigua and Barbuda,1995,0.0,0.0,,0.0
Antigua and Barbuda,1998,0.0,0.0,,0.0
Antigua and Barbuda,1999,0.0,0.0,,0.0
Antigua and Barbuda,2000,6.661666666666666,0.0,inf,3.330833333333333
Antigua and Barbuda,2001,3.2416666666666667,0.0,inf,1.6208333333333333
Antigua and Barbuda,2002,0.0,0.0,,0.0
Antigua and Barbuda,2003,4.636666666666667,0.0,inf,2.3183333333333334
Antigua and Barbuda,2004,6.010000000000001,0.0,inf,3.0050000000000003
Antigua and Barbuda,2005,0.0,0.0,,0.0
Antigua and Barbuda,2006,0.0,0.0,,0.0
Antigua and Barbuda,2007,1.33,0.0,inf,0.665
Antigua and Barbuda,2008,0.0,0.0,,0.0
Antigua and Barbuda,2009,0.0,0.0,,0.0
Antigua and Barbuda,2012,0.0,0.0,,0.0
Antigua and Barbuda,2013,0.0,0.0,,0.0
Antigua and Barbuda,2014,0.0,0.0,,0.0
Antigua and Barbuda,2015,0.0,2.603333333333333,0.0,1.3016666666666665
Argentina,1995,16.378333333333334,3.6166666666666667,4.5285714285714285,9.9975
Argentina,1996,15.871666666666668,3.8000000000000003,4.176754385964912,9.835833333333333
Argentina,1997,15.023333333333333,3.5433333333333334,4.2398871119473185,9.283333333333333
Argentina,1998,15.993333333333332,3.4949999999999997,4.576061039580353,9.744166666666667
Argentina,1999,16.386666666666667,3.145,5.210386857445681,9.765833333333333
Argentina,2000,18.553333333333335,3.345,5.546586945690085,10.949166666666667
Argentina,2001,19.849999999999998,4.076666666666667,4.869174161896973,11.963333333333333
Argentina,2002,19.01666666666667,4.22,4.506319115323856,11.618333333333334
Argentina,2003,20.258333333333333,4.123333333333334,4.913096200485044,12.190833333333334
Argentina,2004,18.093333333333334,3.75,4.824888888888889,10.921666666666667
Argentina,2005,17.49,3.873333333333333,4.515490533562823,10.681666666666665
Argentina,2006,18.096666666666668,3.2733333333333334,5.5285132382892055,10.685
Argentina,2007,16.546666666666667,3.1783333333333332,5.206082852648139,9.8625
Argentina,2008,16.48333333333333,3.2016666666666667,5.148360229047371,9.8425
Argentina,2009,14.918333333333335,2.9683333333333333,5.025828186412129,8.943333333333333
Argentina,2010,15.64,2.9,5.393103448275863,9.27
Argentina,2011,14.721666666666666,2.9233333333333333,5.035917901938426,8.8225
Argentina,2012,16.841666666666665,3.1283333333333334,5.383590836441129,9.985
Argentina,2013,14.35,2.8866666666666667,4.971131639722864,8.618333333333332
Argentina,2014,15.311666666666667,3.2466666666666666,4.7161190965092405,9.279166666666667
Argentina,2015,15.811666666666667,2.8766666666666665,5.496523754345308,9.344166666666666
Armenia,1995,6.3183333333333325,2.313333333333333,2.7312680115273773,4.315833333333333
Armenia,1996,5.0,1.175,4.25531914893617,3.0875
Armenia,1997,3.8016666666666663,1.57,2.4214437367303607,2.685833333333333
Armenia,1998,3.526666666666667,1.0433333333333332,3.3801916932907354,2.285
Armenia,1999,2.486666666666667,1.6266666666666667,1.528688524590164,2.0566666666666666
Armenia,2000,3.966666666666667,1.75,2.2666666666666666,2.8583333333333334
Armenia,2001,3.58,1.3833333333333335,2.587951807228915,2.481666666666667
Armenia,2002,5.516666666666667,0.8283333333333333,6.659959758551309,3.1725
Armenia,2003,4.471666666666667,1.0999999999999999,4.065151515151515,2.785833333333333
Armenia,2006,5.956666666666667,1.3216666666666668,4.506935687263556,3.639166666666667
Armenia,2007,5.266666666666667,1.2366666666666666,4.258760107816712,3.2516666666666665
Armenia,2008,4.921666666666667,0.9366666666666666,5.254448398576513,2.9291666666666667
Armenia,2009,4.886666666666667,0.73,6.69406392694064,2.8083333333333336
Armenia,2010,5.278333333333333,1.4566666666666668,3.623569794050343,3.3675
Armenia,2011,3.7733333333333334,1.7233333333333334,2.1895551257253385,2.7483333333333335
Armenia,2012,4.6450000000000005,1.45,3.2034482758620695,3.0475000000000003
Armenia,2013,4.236666666666666,2.01,2.107794361525705,3.123333333333333
Armenia,2014,4.595,1.5733333333333333,2.920550847457627,3.0841666666666665
Armenia,2015,5.919999999999999,1.6266666666666667,3.639344262295081,3.773333333333333
Aruba,1995,51.41833333333333,0.0,inf,25.709166666666665
Aruba,1999,19.245,0.0,inf,9.6225
Aruba,2000,26.51833333333333,24.37,1.0881548351798658,25.444166666666668
Aruba,2001,4.546666666666667,0.0,inf,2.2733333333333334
Aruba,2002,21.076666666666668,0.0,inf,10.538333333333334
Aruba,2003,2.155,0.0,inf,1.0775
Aruba,2004,26.94666666666667,2.5066666666666664,10.750000000000002,14.726666666666668
Aruba,2005,7.8933333333333335,8.703333333333333,0.9069322098812715,8.298333333333334
Aruba,2006,14.229999999999999,1.8216666666666665,7.811527904849039,8.025833333333333
Aruba,2007,13.503333333333332,1.8616666666666666,7.253357206803939,7.682499999999999
Aruba,2008,5.990000000000001,0.9166666666666666,6.534545454545456,3.453333333333334
Aruba,2009,7.038333333333334,0.0,inf,3.519166666666667
Aruba,2010,8.138333333333334,1.6366666666666667,4.972505091649695,4.8875
Aruba,2011,11.328333333333333,4.241666666666667,2.6707269155206284,7.785
Australia,1995,20.775000000000002,5.09,4.081532416502948,12.932500000000001
Australia,1996,24.228333333333335,4.995,4.850517183850518,14.611666666666668
Australia,1997,25.06833333333333,6.086666666666667,4.1185651697699885,15.577499999999999
Australia,1998,23.701666666666668,5.7,4.158187134502924,14.700833333333334
Australia,1999,22.924999999999997,4.933333333333334,4.646959459459459,13.929166666666665
Australia,2000,21.080000000000002,5.223333333333334,4.035737077217614,13.151666666666667
Australia,2001,21.21,5.255,4.036156041864891,13.2325
Australia,2002,19.096666666666668,5.016666666666667,3.8066445182724253,12.056666666666667
Australia,2003,17.81,4.496666666666667,3.9607116382505554,11.153333333333332
Australia,2004,17.888333333333332,4.405,4.060915626182368,11.146666666666667
Australia,2006,16.536666666666665,4.778333333333333,3.4607603767003834,10.657499999999999
Australia,2007,16.919999999999998,4.788333333333333,3.533588583362339,10.854166666666666
Australia,2008,17.381666666666664,4.366666666666666,3.980534351145038,10.874166666666666
Australia,2009,16.766666666666666,4.92,3.4078590785907856,10.843333333333334
Australia,2010,17.261666666666667,4.845,3.562779497764018,11.053333333333333
Australia,2011,17.096666666666668,5.1066666666666665,3.3479112271540474,11.101666666666667
Australia,2012,17.593333333333334,5.668333333333333,3.1037930020582185,11.630833333333333
Australia,2013,17.616666666666667,5.513333333333333,3.1952841596130597,11.565
Australia,2014,19.031666666666666,5.8133333333333335,3.2737958715596327,12.4225
Australia,2015,19.706666666666667,5.989999999999999,3.2899276572064555,12.848333333333333
Austria,1995,46.125,11.89,3.879310344827586,29.0075
Austria,1996,45.425000000000004,11.683333333333332,3.888017118402283,28.554166666666667
