Country,HDI 2015,GDI 2015,Average suicide 2015
Norway,0.944,0.996,10.6
Australia,0.935,0.976,11.8
Switzerland,0.93,0.95,10.5
Denmark,0.923,0.977,8.1
Netherlands,0.922,0.947,9.3
Germany,0.916,0.963,9.0
Ireland,0.916,0.973,8.7
United States,0.915,0.995,12.9
Canada,0.913,0.982,11.2
New Zealand,0.913,0.961,11.1
Singapore,0.912,0.985,7.6
Sweden,0.907,0.999,13.0
United Kingdom,0.907,0.965,7.8
Iceland,0.899,0.975,13.2
Israel,0.894,0.971,4.5
Luxembourg,0.892,0.971,9.6
Japan,0.891,0.961,14.9
Belgium,0.89,0.975,14.4
France,0.888,0.987,11.5
Austria,0.885,0.943,11.4
Finland,0.883,0.996,12.1
Slovenia,0.88,0.996,14.8
Spain,0.876,0.975,5.6
Italy,0.873,0.964,4.8
Czech Republic,0.87,0.98,10.5
Greece,0.865,0.961,3.8
Estonia,0.861,1.03,13.4
Cyprus,0.85,0.971,4.2
Qatar,0.85,0.998,4.9
Slovakia,0.844,0.999,9.8
Poland,0.843,1.007,13.2
Lithuania,0.839,1.03,28.9
Malta,0.839,0.937,6.6
Saudi Arabia,0.837,0.901,6.0
Argentina,0.836,0.982,8.1
United Arab Emirates,0.835,0.954,5.3
Chile,0.832,0.967,9.2
Portugal,0.83,0.985,8.3
Hungary,0.828,0.976,14.6
Bahrain,0.824,0.94,6.3
Latvia,0.819,1.029,17.1
Croatia,0.818,0.987,12.2
Kuwait,0.816,0.972,2.4
Montenegro,0.802,0.954,16.3
Belarus,0.798,1.021,19.6
Russian Federation,0.798,1.019,27.9
Oman,0.793,0.909,4.7
Uruguay,0.793,1.018,16.7
Kazakhstan,0.788,1.002,23.4
Barbados,0.785,1.018,0.3
Bulgaria,0.782,0.991,6.8
Panama,0.78,0.996,3.0
Malaysia,0.779,0.947,5.2
Mauritius,0.777,0.95,7.5
Trinidad and Tobago,0.772,0.985,9.5
Serbia,0.771,0.966,11.7
Cuba,0.769,0.954,10.4
Lebanon,0.769,0.899,2.9
Costa Rica,0.766,0.974,6.4
Turkey,0.761,0.902,2.3
Sri Lanka,0.757,0.948,14.7
Mexico,0.756,0.943,5.6
Brazil,0.755,0.997,5.6
Georgia,0.754,0.962,8.8
Azerbaijan,0.751,0.942,4.0
Jordan,0.748,0.86,1.9
Ukraine,0.747,1.003,17.9
Algeria,0.736,0.837,2.7
Peru,0.734,0.947,2.8
Albania,0.733,0.948,4.2
Armenia,0.733,1.008,4.7
Ecuador,0.732,0.98,8.9
Saint Lucia,0.729,0.991,7.9
China,0.727,0.943,7.1
Fiji,0.727,0.941,10.0
Mongolia,0.727,1.028,19.7
Thailand,0.726,1,7.2
Libya,0.724,0.95,5.5
Tunisia,0.721,0.894,3.0
Colombia,0.72,0.997,4.0
Jamaica,0.719,0.995,2.2
Tonga,0.717,0.967,5.3
Belize,0.715,0.958,6.9
Dominican Republic,0.715,0.995,6.8
Suriname,0.714,0.975,25.9
Maldives,0.706,0.937,3.0
Samoa,0.702,0.956,14.9
Botswana,0.698,0.982,24.5
Egypt,0.69,0.868,3.7
Indonesia,0.684,0.927,2.6
Paraguay,0.679,0.956,5.9
Uzbekistan,0.675,0.945,9.2
Philippines,0.668,0.977,2.7
El Salvador,0.666,0.965,6.8
South Africa,0.666,0.948,25.6
Kyrgyzstan,0.655,0.961,10.9
Iraq,0.654,0.787,5.4
Guyana,0.636,0.984,39.3
Nicaragua,0.631,0.96,4.5
Morocco,0.628,0.828,7.6
Namibia,0.628,0.981,16.3
Guatemala,0.627,0.949,6.4
Tajikistan,0.624,0.926,5.2
India,0.609,0.795,12.9
Honduras,0.606,0.944,4.6
Bhutan,0.605,0.897,5.2
Vanuatu,0.594,0.903,21.2
Congo,0.591,0.922,12.5
Zambia,0.586,0.917,17.3
Ghana,0.579,0.885,12.0
Bangladesh,0.57,0.917,3.6
Cambodia,0.555,0.89,5.8
Kenya,0.548,0.913,10.6
Nepal,0.548,0.908,9.8
Pakistan,0.538,0.726,10.0
Nigeria,0.514,0.841,7.3
Cameroon,0.512,0.879,17.1
Madagascar,0.51,0.945,9.5
Zimbabwe,0.509,0.922,30.7
Mauritania,0.506,0.816,5.3
Comoros,0.503,0.813,8.8
Yemen,0.498,0.739,6.8
Lesotho,0.497,0.953,114.5
Togo,0.484,0.831,16.7
Rwanda,0.483,0.957,9.9
Uganda,0.483,0.886,11.0
Benin,0.48,0.823,13.4
Sudan,0.479,0.83,4.9
Senegal,0.466,0.883,11.8
Afghanistan,0.465,0.6,6.0
Malawi,0.445,0.907,12.6
Ethiopia,0.442,0.84,10.0
Gambia,0.441,0.889,10.3
Liberia,0.43,0.789,7.7
Mali,0.419,0.776,8.5
Mozambique,0.416,0.881,24.0
Sierra Leone,0.413,0.814,10.5
Guinea,0.411,0.778,13.0
Burkina Faso,0.402,0.881,15.4
Burundi,0.4,0.911,12.8
Chad,0.392,0.768,14.0
Central African Republic,0.35,0.773,26.3
Niger,0.348,0.729,10.4
