,Country,Sex,2016,2015,2010,2000,GDI 2015,HDI 2015
2,Afghanistan, FeM,2.1,2.1,2.1,1.7,0.6,0.5
5,Albania, FeM,4.3,4.0,6.0,3.6,0.948,0.788
8,Algeria, FeM,1.8,1.8,1.9,2.8,0.837,0.74
11,Argentina, FeM,3.5,3.4,3.2,3.6,0.982,0.84
14,Armenia, FeM,2.0,2.2,1.9,1.2,1.008,0.768
17,Australia, FeM,6.0,6.2,5.3,5.4,0.976,0.938
20,Austria, FeM,5.7,5.3,5.4,7.9,0.943,0.915
23,Azerbaijan, FeM,1.0,1.0,1.2,1.0,0.942,0.744
26,Bahrain, FeM,2.1,2.2,2.6,3.5,0.94,0.848
29,Bangladesh, FeM,6.7,7.2,8.4,7.9,0.917,0.595
32,Barbados, FeM,0.3,0.3,0.6,0.5,1.018,0.809
35,Belarus, FeM,6.2,6.1,9.6,11.0,1.021,0.814
38,Belgium, FeM,9.4,8.9,9.8,10.6,0.975,0.922
41,Belize, FeM,2.0,2.1,2.3,2.4,0.958,0.71
44,Benin, FeM,9.6,9.6,9.8,9.9,0.823,0.532
47,Bhutan, FeM,8.9,9.2,9.5,12.6,0.897,0.628
50,Botswana, FeM,5.7,5.9,6.8,5.9,0.982,0.717
53,Brazil, FeM,2.8,2.9,2.8,2.2,0.997,0.756
56,Bulgaria, FeM,3.2,3.2,3.7,7.2,0.991,0.809
59,Burkina Faso, FeM,9.1,9.0,8.4,8.5,0.881,0.422
62,Burundi, FeM,7.7,7.7,8.3,8.5,0.911,0.437
65,Cambodia, FeM,3.2,3.2,3.6,4.5,0.89,0.57
68,Cameroon, FeM,12.5,12.4,11.9,14.6,0.879,0.549
71,Canada, FeM,5.8,5.8,5.9,5.4,0.982,0.921
74,Central African Republic, FeM,6.0,6.4,7.3,7.0,0.773,0.375
77,Chad, FeM,13.8,14.2,15.9,14.5,0.768,0.398
80,Chile, FeM,3.8,4.1,4.5,3.1,0.967,0.842
83,China, FeM,8.3,8.5,11.0,15.6,0.943,0.739
86,Colombia, FeM,2.8,3.3,2.6,3.4,0.997,0.756
89,Comoros, FeM,5.4,5.4,5.3,4.6,0.813,0.545
92,Congo, FeM,5.0,5.3,6.5,8.7,0.922,0.58
95,Costa Rica, FeM,2.3,2.3,2.4,1.8,0.974,0.797
98,Croatia, FeM,5.1,5.9,6.0,7.1,0.987,0.84
