,Country,Sex,2016,2015,2010,2000,GDI 2015,HDI 2015
2,Afghanistan, FeM,2.1,2.1,2.1,1.7,0.6,0.465
5,Albania, FeM,4.3,4.0,6.0,3.6,0.948,0.733
8,Algeria, FeM,1.8,1.8,1.9,2.8,0.837,0.736
11,Argentina, FeM,3.5,3.4,3.2,3.6,0.982,0.836
14,Armenia, FeM,2.0,2.2,1.9,1.2,1.008,0.733
17,Australia, FeM,6.0,6.2,5.3,5.4,0.976,0.935
20,Austria, FeM,5.7,5.3,5.4,7.9,0.943,0.885
23,Azerbaijan, FeM,1.0,1.0,1.2,1.0,0.942,0.751
26,Bahrain, FeM,2.1,2.2,2.6,3.5,0.94,0.824
29,Bangladesh, FeM,6.7,7.2,8.4,7.9,0.917,0.57
32,Barbados, FeM,0.3,0.3,0.6,0.5,1.018,0.785
35,Belarus, FeM,6.2,6.1,9.6,11.0,1.021,0.798
38,Belgium, FeM,9.4,8.9,9.8,10.6,0.975,0.89
41,Belize, FeM,2.0,2.1,2.3,2.4,0.958,0.715
44,Benin, FeM,9.6,9.6,9.8,9.9,0.823,0.48
47,Bhutan, FeM,8.9,9.2,9.5,12.6,0.897,0.605
50,Botswana, FeM,5.7,5.9,6.8,5.9,0.982,0.698
53,Brazil, FeM,2.8,2.9,2.8,2.2,0.997,0.755
56,Bulgaria, FeM,3.2,3.2,3.7,7.2,0.991,0.782
59,Burkina Faso, FeM,9.1,9.0,8.4,8.5,0.881,0.402
62,Burundi, FeM,7.7,7.7,8.3,8.5,0.911,0.4
65,Cambodia, FeM,3.2,3.2,3.6,4.5,0.89,0.555
68,Cameroon, FeM,12.5,12.4,11.9,14.6,0.879,0.512
71,Canada, FeM,5.8,5.8,5.9,5.4,0.982,0.913
74,Central African Republic, FeM,6.0,6.4,7.3,7.0,0.773,0.35
77,Chad, FeM,13.8,14.2,15.9,14.5,0.768,0.392
80,Chile, FeM,3.8,4.1,4.5,3.1,0.967,0.832
83,China, FeM,8.3,8.5,11.0,15.6,0.943,0.727
86,Colombia, FeM,2.8,3.3,2.6,3.4,0.997,0.72
89,Comoros, FeM,5.4,5.4,5.3,4.6,0.813,0.503
92,Congo, FeM,5.0,5.3,6.5,8.7,0.922,0.591
95,Costa Rica, FeM,2.3,2.3,2.4,1.8,0.974,0.766
98,Croatia, FeM,5.1,5.9,6.0,7.1,0.987,0.818
101,Cuba, FeM,4.1,4.0,4.8,9.1,0.954,0.769
104,Cyprus, FeM,1.9,2.2,2.3,1.5,0.971,0.85
107,Denmark, FeM,5.2,5.4,5.5,6.5,0.977,0.923
110,Dominican Republic, FeM,3.2,3.2,3.2,3.8,0.995,0.715
113,Ecuador, FeM,3.8,4.9,4.7,3.7,0.98,0.732
116,Egypt, FeM,1.7,1.7,1.6,1.5,0.868,0.69
119,El Salvador, FeM,4.3,4.4,4.1,6.6,0.965,0.666
122,Estonia, FeM,4.4,3.8,4.5,9.7,1.03,0.861
125,Ethiopia, FeM,4.7,4.8,5.4,6.6,0.84,0.442
128,Fiji, FeM,2.5,2.5,2.5,3.1,0.941,0.727
131,Finland, FeM,6.8,5.7,8.0,10.7,0.996,0.883
134,France, FeM,6.5,6.7,8.1,9.3,0.987,0.888
137,Gambia, FeM,7.3,7.4,7.3,10.1,0.889,0.441
140,Georgia, FeM,1.9,1.9,1.6,1.8,0.962,0.754
143,Germany, FeM,4.8,4.9,4.6,5.4,0.963,0.916
146,Ghana, FeM,2.9,2.9,2.9,2.9,0.885,0.579
149,Greece, FeM,1.5,1.5,0.6,1.2,0.961,0.865
152,Guatemala, FeM,1.7,1.9,1.4,1.6,0.949,0.627
155,Guinea, FeM,8.4,8.7,8.7,9.1,0.778,0.411
158,Guyana, FeM,14.2,14.3,14.1,12.8,0.984,0.636
161,Honduras, FeM,1.7,1.6,1.6,1.7,0.944,0.606
164,Hungary, FeM,6.2,6.6,7.8,10.6,0.976,0.828
167,Iceland, FeM,4.7,4.8,5.6,6.4,0.975,0.899
170,India, FeM,14.5,14.7,15.1,16.1,0.795,0.609
173,Indonesia, FeM,2.2,2.2,2.4,2.7,0.927,0.684
176,Iraq, FeM,3.4,3.4,2.9,2.7,0.787,0.654
179,Ireland, FeM,4.2,4.2,5.0,4.4,0.973,0.916
182,Israel, FeM,2.4,2.1,2.5,3.0,0.971,0.894
185,Italy, FeM,2.6,2.5,2.3,2.8,0.964,0.873
188,Jamaica, FeM,0.9,0.9,0.9,0.8,0.995,0.719
191,Japan, FeM,8.1,8.6,10.4,9.9,0.961,0.891
194,Jordan, FeM,2.7,2.7,2.7,3.7,0.86,0.748
197,Kazakhstan, FeM,7.7,8.5,10.7,10.4,1.002,0.788
200,Kenya, FeM,2.1,2.1,2.3,3.6,0.913,0.548
203,Kuwait, FeM,1.7,1.7,1.1,1.4,0.972,0.816
206,Kyrgyzstan, FeM,3.7,3.5,4.4,5.4,0.961,0.655
209,Latvia, FeM,5.1,5.3,4.2,9.5,1.029,0.819
212,Lebanon, FeM,2.2,2.3,2.4,2.1,0.899,0.769
215,Lesotho, FeM,32.6,32.1,31.0,30.2,0.953,0.497
218,Liberia, FeM,13.0,12.6,12.7,9.5,0.789,0.43
221,Libya, FeM,2.3,2.1,2.4,3.0,0.95,0.724
224,Lithuania, FeM,6.7,8.9,9.5,15.6,1.03,0.839
227,Luxembourg, FeM,5.8,5.7,5.2,8.2,0.971,0.892
230,Madagascar, FeM,3.6,3.7,4.2,5.0,0.945,0.51
233,Malawi, FeM,3.2,3.2,3.2,4.7,0.907,0.445
236,Malaysia, FeM,3.6,3.6,3.6,4.4,0.947,0.779
