Country,democracy,government,political_violence
Afghanistan,1.0,Presidential Democracy,26.597689
Albania,1.0,Parliamentary Democracy,-0.3631553
Algeria,1.0,Presidential Democracy,0.25416517
Andorra,1.0,Parliamentary Democracy,-0.36428955
Angola,0.0,Dominant Party,-0.20551167
Antigua and Barbuda,1.0,Parliamentary Democracy,-0.36428955
Argentina,1.0,Presidential Democracy,-0.34919688
Armenia,1.0,Parliamentary Democracy,-0.35445473
Australia,1.0,Parliamentary Democracy,-0.36443883
Austria,1.0,Parliamentary Democracy,-0.36357394
Azerbaijan,0.0,Personal Dictatorship,-0.14115031
Bahamas,1.0,Parliamentary Democracy,-0.36422643
Bahrain,0.0,Monarchy,-0.35800064
Bangladesh,1.0,Parliamentary Democracy,-0.19729966
Barbados,1.0,Parliamentary Democracy,-0.36011967
Belarus,0.0,Personal Dictatorship,-0.3628476
Belgium,1.0,Parliamentary Democracy,-0.33392093
Belize,1.0,Parliamentary Democracy,-0.36413628
Benin,1.0,Presidential Democracy,-0.36428955
Bhutan,1.0,Parliamentary Democracy,-0.3620993
Bolivia,1.0,Presidential Democracy,-0.35828438
Bosnia,0.0,Foreign/Occupied,-0.35585514
Botswana,0.0,Dominant Party,-0.36368248
Brazil,1.0,Presidential Democracy,-0.03561659
Brunei,0.0,Monarchy,-0.36428955
Bulgaria,1.0,Parliamentary Democracy,-0.36310694
Burkina Faso,1.0,Presidential Democracy,-0.25238052
Burundi,0.0,Personal Dictatorship,-0.30139038
Cambodia,0.0,Dominant Party,-0.28054062
Cameroon,0.0,Personal Dictatorship,0.4730425
Canada,1.0,Parliamentary Democracy,-0.3483454
Cape Verde,1.0,Parliamentary Democracy,-0.36428955
Cen African Rep,1.0,Presidential Democracy,1.2391392
Chad,0.0,Personal Dictatorship,0.24292347
Chile,1.0,Presidential Democracy,-0.3595031
China,0.0,Dominant Party,0.0
Colombia,1.0,Presidential Democracy,0.01124407
Comoros,1.0,Presidential Democracy,-0.35770014
Congo,0.0,Personal Dictatorship,-0.2822556
Congo/Zaire,0.0,Personal Dictatorship,5.0444255
Costa Rica,1.0,Presidential Democracy,-0.36381397
Croatia,1.0,Parliamentary Democracy,-0.34104368
Cuba,0.0,Party-Personal,-0.2795582
Cyprus,0.0,Foreign/Occupied,-0.35982913
Czech Rep,1.0,Parliamentary Democracy,-0.36423615
Czechoslovakia,1.0,Parliamentary Democracy,-0.36135417
Denmark,1.0,Parliamentary Democracy,-0.36424163
Djibouti,0.0,Personal Dictatorship,-0.341328
Dominica,1.0,Parliamentary Democracy,-0.36407736
Dominican Republic,1.0,Presidential Democracy,-0.3609355
East Timor,1.0,Presidential Democracy,-0.36294764
Ecuador,1.0,Presidential Democracy,-0.36310217
Egypt,0.0,Military-Personal,1.5187956
El Salvador,1.0,Presidential Democracy,-0.35804498
Equatorial Guinea,0.0,Personal Dictatorship,-0.36418563
Eritrea,0.0,Party-Personal,-0.20154376
Estonia,1.0,Parliamentary Democracy,-0.36398056
Ethiopia,0.0,Dominant Party,0.15782273
Fiji,0.0,Military-Personal,-0.36381513
Finland,1.0,Parliamentary Democracy,-0.36382496
France,1.0,Presidential Democracy,-0.21529666
Gabon,0.0,Party-Personal,-0.36175314
Gambia,1.0,Presidential Democracy,-0.36110866
Georgia,1.0,Parliamentary Democracy,-0.32385784
Germany,1.0,Parliamentary Democracy,-0.35523465
Germany East,0.0,Dominant Party,-0.36428955
Ghana,1.0,Presidential Democracy,-0.34957185
Greece,1.0,Parliamentary Democracy,-0.2765236
Grenada,1.0,Parliamentary Democracy,-0.3637089
Guatemala,1.0,Presidential Democracy,-0.2702108
Guinea,1.0,Presidential Democracy,-0.35018978
Guinea Bissau,1.0,Presidential Democracy,-0.35563362
Guyana,1.0,Parliamentary Democracy,-0.36232573
Haiti,1.0,Presidential Democracy,-0.3427546
Honduras,1.0,Presidential Democracy,-0.3559538
Hungary,0.0,Dominant Party,-0.36402562
Iceland,1.0,Parliamentary Democracy,-0.36428955
India,1.0,Parliamentary Democracy,1.2826383
Indonesia,1.0,Presidential Democracy,0.22789077
Iran,0.0,Dominant Party,0.022721112
Iraq,1.0,Parliamentary Democracy,26.407698
Ireland,1.0,Parliamentary Democracy,-0.36019123
Israel,1.0,Parliamentary Democracy,0.0
Italy,1.0,Parliamentary Democracy,-0.35623568
Ivory Coast,1.0,Presidential Democracy,-0.30222747
Jamaica,1.0,Parliamentary Democracy,-0.3621707
Japan,1.0,Parliamentary Democracy,-0.36333275
Jordan,0.0,Monarchy,-0.35642362
Kazakhstan,0.0,Personal Dictatorship,-0.36040887
Kenya,1.0,Presidential Democracy,0.11641595
Kiribati,1.0,Presidential Democracy,-0.36428955
Korea North,0.0,Party-Personal,-0.36416283
Korea South,1.0,Presidential Democracy,-0.3638672
Kosovo,1.0,Parliamentary Democracy,-0.36437878
Kuwait,0.0,Monarchy,-0.35659778
Kyrgyzstan,0.0,Provisional - Civilian,-0.36166617
Laos,0.0,Dominant Party,-0.303477
Latvia,1.0,Parliamentary Democracy,-0.36409053
Lebanon,1.0,Parliamentary Democracy,-0.024284594
Lesotho,1.0,Parliamentary Democracy,-0.35899773
Liberia,1.0,Presidential Democracy,-0.20520757
Libya,0.0,Warlordism,1.7465991
Liechtenstein,0.0,Monarchy,-0.36428955
Lithuania,1.0,Parliamentary Democracy,-0.36419004
Luxembourg,1.0,Parliamentary Democracy,-0.36428955
Macedonia,1.0,Parliamentary Democracy,-0.35402685
Madagascar,1.0,Presidential Democracy,-0.35985735
Malawi,1.0,Presidential Democracy,-0.36254418
Malaysia,1.0,Parliamentary Democracy,-0.33789346
Maldives,1.0,Presidential Democracy,-0.36321235
Mali,0.0,Provisional - Military,0.54586136
Malta,1.0,Parliamentary Democracy,-0.36382192
Marshall Islands,1.0,Presidential Democracy,-0.36428955
Mauritania,0.0,Personal Dictatorship,-0.3632608
Mauritius,1.0,Parliamentary Democracy,-0.36428955
Mexico,1.0,Presidential Democracy,-0.042658456
Micronesia,1.0,Parliamentary Democracy,-0.36428955
Moldova,1.0,Parliamentary Democracy,-0.3547194
Monaco,0.0,Monarchy,-0.36428955
Mongolia,1.0,Presidential Democracy,-0.36428955
Montenegro,1.0,Parliamentary Democracy,-0.36418083
Morocco,0.0,Monarchy,-0.11573004
Mozambique,0.0,Dominant Party,-0.20297831
Myanmar,0.0,Party-Military,0.63356996
Namibia,0.0,Dominant Party,-0.36108136
Nauru,1.0,Parliamentary Democracy,-0.36428955
Nepal,1.0,Parliamentary Democracy,0.30122933
Netherlands,1.0,Parliamentary Democracy,-0.36315224
New Zealand,1.0,Parliamentary Democracy,-0.36424732
Nicaragua,0.0,Party-Personal,-0.26365313
Niger,1.0,Presidential Democracy,-0.10306847
Nigeria,1.0,Presidential Democracy,5.601076
Norway,1.0,Parliamentary Democracy,-0.3609529
Oman,0.0,Monarchy,-0.36146832
Pakistan,1.0,Parliamentary Democracy,2.8151274
Palau,1.0,Presidential Democracy,-0.36428955
Panama,1.0,Presidential Democracy,-0.3582581
Papua New Guinea,1.0,Parliamentary Democracy,-0.35732812
Paraguay,1.0,Presidential Democracy,-0.35751036
Peru,1.0,Presidential Democracy,-0.28932154
Philippines,1.0,Presidential Democracy,1.3946486
Poland,1.0,Presidential Democracy,-0.36395925
Portugal,1.0,Presidential Democracy,-0.36421564
Qatar,0.0,Monarchy,-0.36386588
Romania,1.0,Parliamentary Democracy,-0.36098105
Russian Federation,0.0,Personal Dictatorship,0.020613354
Rwanda,0.0,Party-Military,2.0408857
Samoa,1.0,Parliamentary Democracy,-0.36428955
San Marino,1.0,Parliamentary Democracy,-0.36428955
Sao Tome and Principe,1.0,Parliamentary Democracy,-0.36428955
Saudi Arabia,0.0,Monarchy,-0.32252997
Senegal,1.0,Presidential Democracy,-0.34040192
Serbia,1.0,Parliamentary Democracy,-0.0941459
Seychelles,0.0,Dominant Party,-0.36428955
Sierra Leone,1.0,Presidential Democracy,-0.23560628
Singapore,0.0,Dominant Party,-0.36402023
Slovakia,1.0,Parliamentary Democracy,-0.36382312
Slovenia,1.0,Parliamentary Democracy,-0.36418656
Solomon Islands,1.0,Parliamentary Democracy,-0.3639975
Somalia,0.0,Provisional - Civilian,10.76591
South Africa,1.0,Parliamentary Democracy,-0.07766751
South Sudan,0.0,Personal Dictatorship,1.5183538
Soviet Union,0.0,Dominant Party,0.013738419
Spain,1.0,Parliamentary Democracy,-0.30955505
Sri Lanka,1.0,Presidential Democracy,-0.28922236
St Kitts and Nevis,1.0,Parliamentary Democracy,-0.36428955
St Lucia,1.0,Parliamentary Democracy,-0.3641446
St Vincent,1.0,Parliamentary Democracy,-0.36428955
Sudan,0.0,Provisional - Civilian,1.9499922
Suriname,1.0,Parliamentary Democracy,-0.3603666
Swaziland,0.0,Monarchy,-0.3639402
Sweden,1.0,Parliamentary Democracy,-0.3636597
Switzerland,1.0,Parliamentary Democracy,-0.36112186
Syria,0.0,Party-Personal-Military Hybrid,10.473538
Tajikistan,0.0,Personal Dictatorship,-0.18936597
Tanzania,0.0,Dominant Party,-0.3562382
Thailand,0.0,Military,-0.01016395
Togo,0.0,Personal Dictatorship,-0.3562664
Tonga,0.0,Monarchy,-0.36428955
Trinidad and Tobago,1.0,Parliamentary Democracy,-0.36153638
Tunisia,1.0,Presidential Democracy,-0.3431917
Turkey,0.0,Party-Personal,3.2555397
Turkmenistan,0.0,Party-Personal,-0.36399102
Tuvalu,1.0,Parliamentary Democracy,-0.36428955
Uganda,0.0,Personal Dictatorship,0.28108308
Ukraine,1.0,Presidential Democracy,1.4563278
United Arab Emirates,0.0,Monarchy,-0.35684127
United Kingdom,1.0,Parliamentary Democracy,-0.25206128
United States,1.0,Presidential Democracy,0.0
Uruguay,1.0,Presidential Democracy,-0.3621181
Uzbekistan,0.0,Party-Personal,-0.34665602
Vanuatu,1.0,Parliamentary Democracy,-0.36428955
Venezuela,0.0,Personal Dictatorship,-0.34839875
Vietnam,0.0,Dominant Party,-0.32296687
Vietnam South,0.0,Military,-0.36428955
Yemen,0.0,Warlordism,1.5228071
Yemen South,0.0,Dominant Party,-0.36428955
Yugoslavia,0.0,Dominant Party,-0.36428955
Zambia,1.0,Presidential Democracy,-0.36239898
Zimbabwe,0.0,Dominant Party,-0.32113254
