,Country,Sex,2016,2015,2010,2000,GDI 2015,HDI 2015
1,Afghanistan, Male,10.6,10.9,12.5,14.3,0.6,0.5
4,Albania, Male,7.0,6.7,9.5,8.2,0.948,0.788
7,Algeria, Male,4.9,5.0,5.1,6.7,0.837,0.74
10,Argentina, Male,15.0,14.4,14.4,16.2,0.982,0.84
13,Armenia, Male,10.1,10.7,9.7,5.7,1.008,0.768
16,Australia, Male,17.4,18.3,16.8,19.2,0.976,0.938
19,Austria, Male,17.5,18.2,19.5,25.2,0.943,0.915
22,Azerbaijan, Male,4.3,4.4,5.1,4.1,0.942,0.744
25,Bahrain, Male,7.9,7.9,7.1,10.0,0.94,0.848
28,Bangladesh, Male,5.5,5.5,4.9,6.2,0.917,0.595
31,Barbados, Male,0.8,0.7,2.6,3.7,1.018,0.809
34,Belarus, Male,39.3,39.2,58.1,70.4,1.021,0.814
37,Belgium, Male,22.2,21.6,24.0,27.3,0.975,0.922
40,Belize, Male,9.9,10.1,10.6,12.5,0.958,0.71
43,Benin, Male,22.6,22.5,22.1,22.2,0.823,0.532
46,Bhutan, Male,13.8,14.1,14.4,19.8,0.897,0.628
49,Botswana, Male,18.3,19.0,21.8,25.9,0.982,0.717
52,Brazil, Male,9.7,9.7,9.0,8.9,0.997,0.756
55,Bulgaria, Male,13.1,13.1,14.0,22.1,0.991,0.809
58,Burkina Faso, Male,22.4,22.5,22.6,24.9,0.881,0.422
61,Burundi, Male,23.1,22.7,22.4,18.5,0.911,0.437
64,Cambodia, Male,9.0,9.0,9.4,10.6,0.89,0.57
67,Cameroon, Male,26.9,27.2,25.9,28.4,0.879,0.549
70,Canada, Male,15.1,15.3,16.3,17.8,0.982,0.921
73,Central African Republic, Male,18.0,18.7,20.9,19.3,0.773,0.375
76,Chad, Male,17.1,17.1,16.4,15.3,0.768,0.398
79,Chile, Male,16.0,16.3,19.1,19.8,0.967,0.842
82,China, Male,7.9,7.9,9.0,12.7,0.943,0.739
85,Colombia, Male,11.5,13.3,12.0,13.0,0.997,0.756
88,Comoros, Male,17.6,17.6,17.5,13.6,0.813,0.545
91,Congo, Male,13.9,14.2,16.1,20.9,0.922,0.58
94,Costa Rica, Male,12.8,12.8,14.5,13.9,0.974,0.797
